BAS date epoch year locations length length_sigma transverse transverse_sigma horizontal horizonntal_sigma
BAS_LCL: 99APR28XO EPOCH: 1999.32449 NYALES20/WETTZELL 3283002112.59 4.63 -4.01 4.60 -10.62 14.83
BAS_LCL: 99MAY04XE EPOCH: 1999.34086 NYALES20/WETTZELL 3283002113.85 2.49 0.07 2.42 -13.56 7.28
BAS_LCL: 99MAY10XA EPOCH: 1999.35684 NYALES20/WETTZELL 3283002115.73 1.70 8.83 1.52 -10.14 4.71
BAS_LCL: 99MAY18XE EPOCH: 1999.37919 NYALES20/WETTZELL 3283002111.02 2.68 2.66 2.30 -17.92 7.48
BAS_LCL: 99JUN01XE EPOCH: 1999.41752 NYALES20/WETTZELL 3283002112.35 3.44 0.32 2.86 1.99 8.55
BAS_LCL: 99JUN15XE EPOCH: 1999.45585 NYALES20/WETTZELL 3283002116.81 2.75 0.10 2.34 -12.68 8.04
BAS_LCL: 99JUN21XA EPOCH: 1999.47183 NYALES20/WETTZELL 3283002121.26 1.55 1.67 1.41 6.15 4.54
BAS_LCL: 99JUN28XA EPOCH: 1999.49076 NYALES20/WETTZELL 3283002113.92 1.85 -6.95 2.64 12.99 4.4
BAS_LCL: 99JUN29XE EPOCH: 1999.49418 NYALES20/WETTZELL 3283002119.78 2.06 0.20 2.24 -13.17 7.11
BAS_LCL: 99JUL13XE EPOCH: 1999.53252 NYALES20/WETTZELL 3283002116.45 3.43 0.79 2.52 -22.06 9.21
BAS_LCL: 99JUL27XE EPOCH: 1999.57084 NYALES20/WETTZELL 3283002117.5 2.90 0.97 2.29 -10.36 8.37
BAS_LCL: 99AUG02XA EPOCH: 1999.58681 NYALES20/WETTZELL 3283002122.53 1.09 1.21 1.16 -6.38 3.29
BAS_LCL: 99AUG10XE EPOCH: 1999.60917 NYALES20/WETTZELL 3283002112.16 3.05 0.92 2.34 22.61 8.36
BAS_LCL: 99AUG16XA EPOCH: 1999.62491 NYALES20/WETTZELL 3283002118.84 1.78 -1.36 2.25 -2.81 4.22
BAS_LCL: 99AUG24XE EPOCH: 1999.6475 NYALES20/WETTZELL 3283002118.57 2.70 -2.21 2.40 14.45 7.73
BAS_LCL: 99SEP07XE EPOCH: 1999.68583 NYALES20/WETTZELL 3283002119.62 3.17 -1.24 2.47 0.60 8.87
BAS_LCL: 99SEP21XE EPOCH: 1999.72416 NYALES20/WETTZELL 3283002117.58 2.72 3.54 2.17 -1.79 7.5
BAS_LCL: 99OCT05XE EPOCH: 1999.76249 NYALES20/WETTZELL 3283002115.47 3.09 2.18 2.20 9.02 7.89
BAS_LCL: 99OCT11XA EPOCH: 1999.77823 NYALES20/WETTZELL 3283002128.53 1.78 5.25 2.13 4.17 4.49
BAS_LCL: 99OCT19XE EPOCH: 1999.80082 NYALES20/WETTZELL 3283002126.59 3.07 2.56 2.81 4.01 8.52
BAS_LCL: 99NOV02XE EPOCH: 1999.83915 NYALES20/WETTZELL 3283002127.0 3.71 6.74 2.69 43.01 9.59
BAS_LCL: 99NOV16XE EPOCH: 1999.87748 NYALES20/WETTZELL 3283002122.02 3.23 2.08 2.33 13.15 8.88
BAS_LCL: 99NOV30XE EPOCH: 1999.91581 NYALES20/WETTZELL 3283002119.28 3.19 2.10 2.54 11.05 9.3
BAS_LCL: 99DEC13XA EPOCH: 1999.95072 NYALES20/WETTZELL 3283002128.41 1.84 0.28 1.81 16.34 4.25
BAS_LCL: 99DEC14XE EPOCH: 1999.95414 NYALES20/WETTZELL 3283002120.82 1.83 -1.46 1.69 7.67 5.01
BAS_LCL: 99DEC20XA EPOCH: 1999.97012 NYALES20/WETTZELL 3283002114.99 1.52 -4.03 1.41 16.28 4.29
BAS_LCL: 99DEC28XE EPOCH: 1999.99247 NYALES20/WETTZELL 3283002116.56 2.95 -7.53 2.60 11.52 8.91
BAS_LCL: 00JAN11XE EPOCH: 2000.0308 NYALES20/WETTZELL 3283002121.9 3.01 -3.50 2.46 25.61 8.11
BAS_LCL: 00JAN25XE EPOCH: 2000.06913 NYALES20/WETTZELL 3283002116.38 2.72 -1.18 2.41 6.52 8.43
BAS_LCL: 00JAN27XA EPOCH: 2000.07392 NYALES20/WETTZELL 3283002119.27 1.74 -0.38 2.22 11.77 3.93
BAS_LCL: 00JAN31XB EPOCH: 2000.08507 NYALES20/WETTZELL 3283002118.67 0.97 -2.55 1.05 -3.05 2.79
BAS_LCL: 00FEB07XA EPOCH: 2000.10404 NYALES20/WETTZELL 3283002115.27 2.06 5.83 2.45 -4.93 4.32
BAS_LCL: 00FEB08XE EPOCH: 2000.10746 NYALES20/WETTZELL 3283002123.33 3.91 4.10 3.35 2.84 11.18
BAS_LCL: 00FEB22XE EPOCH: 2000.14579 NYALES20/WETTZELL 3283002126.27 2.90 -4.58 3.02 28.63 8.17
BAS_LCL: 00MAR07XE EPOCH: 2000.18412 NYALES20/WETTZELL 3283002120.01 2.38 -3.52 2.24 13.60 7.0
BAS_LCL: 00MAR13XA EPOCH: 2000.20008 NYALES20/WETTZELL 3283002120.15 1.35 -2.10 1.24 15.44 3.61
BAS_LCL: 00MAR16XA EPOCH: 2000.20808 NYALES20/WETTZELL 3283002120.97 2.51 -3.43 1.96 -4.01 3.8
BAS_LCL: 00MAR21XE EPOCH: 2000.22245 NYALES20/WETTZELL 3283002118.25 2.43 1.13 2.16 26.04 7.53
BAS_LCL: 00APR04XE EPOCH: 2000.26078 NYALES20/WETTZELL 3283002117.86 3.50 -5.86 3.38 19.21 10.09
BAS_LCL: 00APR18XE EPOCH: 2000.29911 NYALES20/WETTZELL 3283002123.68 3.91 6.33 3.53 36.69 10.93
BAS_LCL: 00MAY02XE EPOCH: 2000.33744 NYALES20/WETTZELL 3283002121.38 4.20 -10.63 3.62 35.49 10.83
BAS_LCL: 00MAY22XA EPOCH: 2000.39175 NYALES20/WETTZELL 3283002117.65 1.42 -0.99 1.71 24.57 4.46
BAS_LCL: 00MAY30XE EPOCH: 2000.4141 NYALES20/WETTZELL 3283002122.89 3.85 0.74 4.98 18.49 12.91
BAS_LCL: 00MAY31XC EPOCH: 2000.4171 NYALES20/WETTZELL 3283002122.45 5.45 2.97 4.29 3.12 15.15
BAS_LCL: 00JUN27XE EPOCH: 2000.49076 NYALES20/WETTZELL 3283002118.19 2.90 0.70 2.60 -8.86 8.24
BAS_LCL: 00JUL06XA EPOCH: 2000.5155 NYALES20/WETTZELL 3283002115.39 1.69 3.41 2.39 0.26 4.97
